 CURRENCY,NAME,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR
USD,US Dollar,0.021454623,0.022371364,0.018846588,0.018246896,0.016159311,0.015831713,0.015097758,0.014715664
EUR,Euro,0.014968167,0.016706892,0.014543243,0.013819857,0.011758298,0.013086174,0.013904205,0.013988563
GBP,British Pound,0.013269725,0.014330054,0.012140682,0.011222328,0.009757331,0.010162721,0.010240258,0.01192614
INR,Indian Rupee,1,1,1,1,1,1,1,1
AUD,Australian Dollar,0.023910897,0.021864117,0.018463471,0.017549688,0.018129742,0.019382256,0.02067478,0.020427074
CAD,Canadian Dollar,0.022571336,0.02231991,0.019253675,0.018125645,0.017164905,0.01839357,0.020916434,0.019775645
SGD,Singapore Dollar,0.0301416,0.028736017,0.024434602,0.022281769,0.020405865,0.020987361,0.021350803,0.02129798
CHF,Swiss Franc,0.022220553,0.02090604,0.017688465,0.016708976,0.014429295,0.015741713,0.015120405,0.015005563
MYR,Malaysian Ringgit,0.073471357,0.069004475,0.059724838,0.055801314,0.052978302,0.055483778,0.064964535,0.065992394
JPY,Japanese Yen,1.995870538,1.815436211,1.453354655,1.582565001,1.701373441,1.888858103,1.821167057,1.720621649
CNY,Chinese Yuan Renminbi,0.146492169,0.147449664,0.118626082,0.113821717,0.097796149,0.098196051,0.098323394,0.102195871
NZD,New Zealand Dollar,0.029551822,0.028666536,0.024239985,0.022042645,0.019653269,0.020306576,0.02205179,0.021243921
THB,Thai Baht,0.715511651,0.671588366,0.594515627,0.558354796,0.528247872,0.522818671,0.543519287,0.527262266
HUF,Hungarian Forint,4.047736484,4.655704619,4.57868439,4.03596378,3.493820758,4.141666541,4.376538084,4.329201175
AED,Emirati Dirham,0.078800685,0.082172258,0.06922446,0.067020847,0.0593483,0.058149002,0.055453253,0.054040334
HKD,Hong Kong Dollar,0.166369878,0.173892609,0.146402182,0.141426214,0.125300467,0.122776532,0.117016342,0.114113352
MXN,Mexican Peso,0.280969745,0.276532434,0.262866559,0.234517052,0.21068768,0.233382298,0.259747113,0.305105747
ZAR,South African Rand,0.158528209,0.148322145,0.15228326,0.154355359,0.169187597,0.183080717,0.234230397,0.20203812
PHP,Philippine Peso,0.992061812,0.976286323,0.825480567,0.748811305,0.717473426,0.707926005,0.710415866,0.729308325
SEK,Swedish Krona,0.153434881,0.150368006,0.130137577,0.118748062,0.104039865,0.1235913,0.127726202,0.134020628
IDR,Indonesian Rupiah,201.6736496,201.3422784,170.9385557,175.7176076,196.5052996,197.3771373,208.8019929,199.0293548
BRL,Brazilian Real,0.037416862,0.037125279,0.03510177,0.037488412,0.038165868,0.042071581,0.059774289,0.047895071
SAR,Saudi Arabian Riyal,0.080467712,0.083894851,0.070679418,0.068436989,0.060604687,0.059406003,0.056676984,0.055191833
TRY,Turkish Lira,0.032173351,0.034393736,0.035657745,0.032550381,0.034724501,0.036961766,0.044025814,0.051887431
KES,Kenyan Shilling,1.627333136,1.800894824,1.601017617,1.570612231,1.392932546,1.433514232,1.543738035,1.504235186
KRW,South Korean Won,24.96889152,25.06935026,21.82623343,19.43190264,17.05776853,17.32210245,17.7542085,17.76563245
EGP,Egyptian Pound,0.117667879,0.129865766,0.113626077,0.116161281,0.112282974,0.11320309,0.11821676,0.266831776
IQD,Iraqi Dinar,24.74790769,26.1073821,22.04108499,21.25420432,18.77792796,18.10591812,16.70364656,17.37919911
NOK,Norwegian Krone,0.123808194,0.130199104,0.112669616,0.101564136,0.098119982,0.118094141,0.133533479,0.127215443
KWD,Kuwaiti Dinar,0.006159623,0.006291946,0.005245948,0.005130111,0.004556926,0.004635953,0.004580644,0.004491221
RUB,Russian Ruble,0.65036472,0.681823255,0.603090825,0.557343539,0.530922226,0.958509971,1.102136333,0.901574282
DKK,Danish Krone,0.111452477,0.124543623,0.108028644,0.103095873,0.087708134,0.097451021,0.103761757,0.103989711
PKR,Pakistani Rupee,1.808839229,1.915212509,1.695250558,1.774886362,1.701575482,1.591483852,1.581248218,1.534843794
ILS,Israeli Shekel,0.080873202,0.0793736,0.071984544,0.068069894,0.056056649,0.061688428,0.058713143,0.056681353
PLN,Polish Zloty,0.061163913,0.06624944,0.064791744,0.056454053,0.048876502,0.056070066,0.059658791,0.061629936
QAR,Qatari Riyal,0.078144177,0.081454138,0.068629851,0.066475235,0.058837666,0.057639992,0.054962496,0.053576789
XAU,Gold Ounce,1.95513E-05,1.57384E-05,1.20568E-05,1.08883E-05,1.34033E-05,1.33679E-05,0.000014226,0.00001277
OMR,Omani Rial,0.008260674,0.00861387,0.007255936,0.007024143,0.006218103,0.00609521,0.005813387,0.005658173
COP,Colombian Peso,43.89068444,42.84116258,36.52468809,32.26366806,31.00971752,37.73977162,48.00558977,44.17642315
CLP,Chilean Peso,10.88714879,10.46420564,9.789860282,8.741052942,8.488809292,9.586699909,10.70004109,9.846250743
TWD,Taiwan New Dollar,0.685518113,0.651901555,0.570580453,0.530181233,0.482896766,0.501339563,0.499011097,0.477162761
ARS,Argentine Peso,0.081549025,0.088791947,0.081078024,0.089793037,0.105358706,0.13401305,0.195153614,0.233287416
CZK,Czech Koruna,0.393638699,0.417975384,0.372342621,0.347101577,0.321405461,0.362444122,0.375812637,0.377988751
VND,Vietnamese Dong,396.4622546,436.1297465,396.3437515,380.1303625,340.5574761,338.5046983,343.1308632,335.0609523
MAD,Moroccan Dirham,0.16943359,0.186366882,0.161609495,0.152072945,0.131829276,0.143356364,0.149762259,0.148878367
JOD,Jordanian Dinar,0.015222055,0.015838926,0.013371654,0.012957115,0.011424633,0.011202498,0.010705064,0.010406917
BHD,Bahraini Dinar,0.008089465,0.008435123,0.007105635,0.006880162,0.00609206,0.005969915,0.00569245,0.005541919
XOF,CFA Franc,9.818474213,10.95900302,9.539741885,9.065232204,7.712937637,8.583967113,9.120560419,9.175895811
LKR,Sri Lankan Rupee,2.453765313,2.481879207,2.173577061,2.330119552,2.1105676,2.077272553,2.183492369,2.184393156
UAH,Ukrainian Hryvnia,0.172637784,0.17818792,0.150678471,0.146796056,0.132991121,0.25043146,0.362765549,0.397175766
NGN,Nigerian Naira,3.207466164,3.399328733,3.056916561,2.849287834,2.583873706,2.897198715,3.005126987,4.476505151
TND,Tunisian Dinar,0.028414502,0.031353467,0.02820392,0.028304592,0.026557827,0.029455477,0.030810556,0.033954923
UGX,Ugandan Shilling,40.76378379,52.2818783,46.64530599,49.17663292,40.72146333,43.86974452,50.91992574,53.00582152
RON,Romanian Leu,0.063090532,0.071467563,0.062810025,0.061360308,0.052553311,0.05866357,0.062916107,0.063480431
BDT,Bangladeshi Taka,1.479296195,1.577181181,1.541273967,1.453855579,1.253962497,1.232920145,1.187911246,1.161213096
PEN,Peruvian Sol,0.061939316,0.062751678,0.050819825,0.046584146,0.045157196,0.047170589,0.051551032,0.049363696
GEL,Georgian Lari,0.036441287,0.039666666,0.031470034,0.030252138,0.028036915,0.0298009,0.036233199,0.039209887
XAF,Central African CFA Franc BEAC,9.818474213,10.95900302,9.539741885,9.065232204,7.712937637,8.583967113,9.120560419,9.175895811
FJD,Fijian Dollar,0.041378263,0.041428451,0.034310192,0.032351479,0.030668648,0.031468667,0.03211592,0.031131723
VEF,Venezuelan Bolívar,0.04612744,0.096196866,0.08104033,0.078461652,0.101548344,0.100525198,0.095864868,0.029137015
HRK,Croatian Kuna,0.109369235,0.123445188,0.109649451,0.104259307,0.089538741,0.100200483,0.106229102,0.104866767
