fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide
7.4,0.7,0,1.9,0.076,11
7.8,0.88,0,2.6,0.098,25
7.8,0.76,0.04,2.3,0.092,15
11.2,0.28,0.56,1.9,0.075,17
7.4,0.7,0,1.9,0.076,11
7.4,0.66,0,1.8,0.075,13
7.9,0.6,0.06,1.6,0.069,15
7.3,0.65,0,1.2,0.065,15
7.8,0.58,0.02,2,0.073,9
7.5,0.5,0.36,6.1,0.071,17
6.7,0.58,0.08,1.8,0.097,15
7.5,0.5,0.36,6.1,0.071,17
5.6,0.615,0,1.6,0.089,16
7.8,0.61,0.29,1.6,0.114,9
8.9,0.62,0.18,3.8,0.176,52
8.9,0.62,0.19,3.9,0.17,51
8.5,0.28,0.56,1.8,0.092,35
8.1,0.56,0.28,1.7,0.368,16
7.4,0.59,0.08,4.4,0.086,6
7.9,0.32,0.51,1.8,0.341,17
8.9,0.22,0.48,1.8,0.077,29
7.6,0.39,0.31,2.3,0.082,23
7.9,0.43,0.21,1.6,0.106,10
8.5,0.49,0.11,2.3,0.084,9
6.9,0.4,0.14,2.4,0.085,21
6.3,0.39,0.16,1.4,0.08,11
7.6,0.41,0.24,1.8,0.08,4
7.9,0.43,0.21,1.6,0.106,10
7.1,0.71,0,1.9,0.08,14
7.8,0.645,0,2,0.082,8
6.7,0.675,0.07,2.4,0.089,17
6.9,0.685,0,2.5,0.105,22
8.3,0.655,0.12,2.3,0.083,15
6.9,0.605,0.12,10.7,0.073,40
5.2,0.32,0.25,1.8,0.103,13
7.8,0.645,0,5.5,0.086,5
7.8,0.6,0.14,2.4,0.086,3
8.1,0.38,0.28,2.1,0.066,13
5.7,1.13,0.09,1.5,0.172,7
7.3,0.45,0.36,5.9,0.074,12
7.3,0.45,0.36,5.9,0.074,12
8.8,0.61,0.3,2.8,0.088,17
7.5,0.49,0.2,2.6,0.332,8
8.1,0.66,0.22,2.2,0.069,9
6.8,0.67,0.02,1.8,0.05,5
4.6,0.52,0.15,2.1,0.054,8
7.7,0.935,0.43,2.2,0.114,22
8.7,0.29,0.52,1.6,0.113,12
6.4,0.4,0.23,1.6,0.066,5
5.6,0.31,0.37,1.4,0.074,12
8.8,0.66,0.26,1.7,0.074,4
6.6,0.52,0.04,2.2,0.069,8
6.6,0.5,0.04,2.1,0.068,6
8.6,0.38,0.36,3,0.081,30
7.6,0.51,0.15,2.8,0.11,33
7.7,0.62,0.04,3.8,0.084,25
10.2,0.42,0.57,3.4,0.07,4
7.5,0.63,0.12,5.1,0.111,50
7.8,0.59,0.18,2.3,0.076,17
7.3,0.39,0.31,2.4,0.074,9
8.8,0.4,0.4,2.2,0.079,19
7.7,0.69,0.49,1.8,0.115,20
7.5,0.52,0.16,1.9,0.085,12
7,0.735,0.05,2,0.081,13
7.2,0.725,0.05,4.65,0.086,4
7.2,0.725,0.05,4.65,0.086,4
7.5,0.52,0.11,1.5,0.079,11
6.6,0.705,0.07,1.6,0.076,6
9.3,0.32,0.57,2,0.074,27
8,0.705,0.05,1.9,0.074,8
7.7,0.63,0.08,1.9,0.076,15
7.7,0.67,0.23,2.1,0.088,17
7.7,0.69,0.22,1.9,0.084,18
8.3,0.675,0.26,2.1,0.084,11
9.7,0.32,0.54,2.5,0.094,28
8.8,0.41,0.64,2.2,0.093,9
8.8,0.41,0.64,2.2,0.093,9
6.8,0.785,0,2.4,0.104,14
6.7,0.75,0.12,2,0.086,12
8.3,0.625,0.2,1.5,0.08,27
6.2,0.45,0.2,1.6,0.069,3
7.8,0.43,0.7,1.9,0.464,22
7.4,0.5,0.47,2,0.086,21
7.3,0.67,0.26,1.8,0.401,16
6.3,0.3,0.48,1.8,0.069,18
6.9,0.55,0.15,2.2,0.076,19
8.6,0.49,0.28,1.9,0.11,20
7.7,0.49,0.26,1.9,0.062,9
9.3,0.39,0.44,2.1,0.107,34
7,0.62,0.08,1.8,0.076,8
7.9,0.52,0.26,1.9,0.079,42
8.6,0.49,0.28,1.9,0.11,20
8.6,0.49,0.29,2,0.11,19
7.7,0.49,0.26,1.9,0.062,9
5,1.02,0.04,1.4,0.045,41
4.7,0.6,0.17,2.3,0.058,17
6.8,0.775,0,3,0.102,8
7,0.5,0.25,2,0.07,3
7.6,0.9,0.06,2.5,0.079,5
8.1,0.545,0.18,1.9,0.08,13
8.3,0.61,0.3,2.1,0.084,11
7.8,0.5,0.3,1.9,0.075,8
8.1,0.545,0.18,1.9,0.08,13
8.1,0.575,0.22,2.1,0.077,12
7.2,0.49,0.24,2.2,0.07,5
8.1,0.575,0.22,2.1,0.077,12
7.8,0.41,0.68,1.7,0.467,18
6.2,0.63,0.31,1.7,0.088,15
8,0.33,0.53,2.5,0.091,18
8.1,0.785,0.52,2,0.122,37
7.8,0.56,0.19,1.8,0.104,12
8.4,0.62,0.09,2.2,0.084,11
8.4,0.6,0.1,2.2,0.085,14
10.1,0.31,0.44,2.3,0.08,22
7.8,0.56,0.19,1.8,0.104,12
9.4,0.4,0.31,2.2,0.09,13
8.3,0.54,0.28,1.9,0.077,11
7.8,0.56,0.12,2,0.082,7
8.8,0.55,0.04,2.2,0.119,14
7,0.69,0.08,1.8,0.097,22
7.3,1.07,0.09,1.7,0.178,10
8.8,0.55,0.04,2.2,0.119,14
7.3,0.695,0,2.5,0.075,3
8,0.71,0,2.6,0.08,11
7.8,0.5,0.17,1.6,0.082,21
9,0.62,0.04,1.9,0.146,27
8.2,1.33,0,1.7,0.081,3
8.1,1.33,0,1.8,0.082,3
8,0.59,0.16,1.8,0.065,3
6.1,0.38,0.15,1.8,0.072,6
8,0.745,0.56,2,0.118,30
5.6,0.5,0.09,2.3,0.049,17
5.6,0.5,0.09,2.3,0.049,17
6.6,0.5,0.01,1.5,0.06,17
7.9,1.04,0.05,2.2,0.084,13
8.4,0.745,0.11,1.9,0.09,16
8.3,0.715,0.15,1.8,0.089,10
7.2,0.415,0.36,2,0.081,13
7.8,0.56,0.19,2.1,0.081,15
7.8,0.56,0.19,2,0.081,17
8.4,0.745,0.11,1.9,0.09,16
8.3,0.715,0.15,1.8,0.089,10
5.2,0.34,0,1.8,0.05,27
6.3,0.39,0.08,1.7,0.066,3
5.2,0.34,0,1.8,0.05,27
8.1,0.67,0.55,1.8,0.117,32
5.8,0.68,0.02,1.8,0.087,21
7.6,0.49,0.26,1.6,0.236,10
6.9,0.49,0.1,2.3,0.074,12
8.2,0.4,0.44,2.8,0.089,11
